V4,V2,V3,V5,V6,V7,V8,V9,V10,V11,V12,V13,Class
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
6.0,Casual,Average,M,Summer,bowneck,sleevless,natural,chiffonfabric,sattin,rivet,solid,1
6.0,Novelty,Average,M,Spring,v-neck,full,empire,cotton,jersey,tassel,floral,2
2.0,Sexy,Average,S,Automn,Sweetheart,Petal,empire,cashmere,flannael,applique,dot,1
2.0,Casual,High,M,Automn,Sweetheart,Petal,empire,cashmere,dobby,beading,character,1
2.0,Casual,Average,XL,Spring,bowneck,short,natural,cotton,woolen,applique,solid,1
6.0,bohemian,Average,M,Spring,Sweetheart,Petal,empire,cashmere,chiffon,applique,animal,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
2.0,Flare,Average,M,Autumn,Sweetheart,Petal,dropped,cashmere,broadcloth,applique,dot,1
6.0,Casual,Average,M,Autumn,Sweetheart,cap-sleeves,empire,cotton,broadcloth,cascading,character,2
2.0,Flare,Average,L,Spring,Sweetheart,Petal,empire,acrylic,flannael,applique,character,1
2.0,Novelty,Average,L,Spring,Sweetheart,Petal,empire,cotton,flannael,applique,floral,1
2.0,Flare,Average,L,Spring,Sweetheart,Petal,empire,cashmere,broadcloth,cascading,animal,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Casual,Average,L,Automn,boat-neck,Petal,dropped,chiffonfabric,flannael,applique,character,1
6.0,Casual,High,M,Spring,backless,Petal,empire,cashmere,chiffon,Tiered,character,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
6.0,Casual,Average,M,Summer,peterpan-collor,sleevless,natural,polyster,sattin,pearls,solid,1
2.0,Novelty,Average,L,Automn,Sweetheart,Petal,dropped,lace,broadcloth,applique,character,1
2.0,Novelty,Average,M,Spring,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
6.0,Brief,low,M,Winter,o-neck,sleeevless,empire,polyster,other,lace,character,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Flare,High,M,Automn,Sweetheart,Petal,empire,cashmere,flannael,applique,floral,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Spring,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
6.0,Casual,Average,M,Summer,backless,Petal,empire,cashmere,flannael,applique,character,1
2.0,bohemian,Average,M,Automn,Sweetheart,Petal,empire,cashmere,chiffon,applique,dot,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Flare,Average,M,Automn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,dot,1
2.0,bohemian,Low,M,Automn,Sweetheart,Petal,empire,cashmere,Corduroy,beading,character,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Casual,Average,L,Autumn,halter,cap-sleeves,empire,cashmere,broadcloth,cascading,animal,2
2.0,Casual,Average,L,Automn,open,short,empire,cashmere,chiffon,bow,leopard,1
2.0,Casual,Average,L,Automn,Sweetheart,Petal,dropped,cashmere,dobby,Tiered,animal,1
