age,fare,sex,sibsp,parch,embarked,class,who,alone,survived
23,6.0,male,0,0,S,Third,man,True,0
26,6.0,male,0,0,S,Third,man,True,0
25,6.0,male,0,0,S,Third,man,True,0
26,6.0,male,0,0,S,Third,man,True,0
22,5.0,male,0,0,S,Third,man,True,0
24,6.0,male,0,0,S,Third,man,True,0
42,29.0,male,0,0,S,Third,man,True,0
24,6.0,male,0,0,S,Third,man,True,0
36,9.0,male,0,0,S,Third,man,True,0
28,7.0,male,0,0,S,Third,man,True,0
22,5.0,male,0,0,S,Third,man,True,0
23,6.0,male,0,0,S,Third,man,True,0
23,6.0,male,0,0,S,Third,man,True,0
23,6.0,male,0,0,S,Third,man,True,0
21,5.0,male,0,0,S,Third,man,True,0
26,7.0,male,0,0,S,Third,man,True,0
24,6.0,male,0,0,S,Third,man,True,0
19,5.0,male,0,0,S,Third,man,True,0
21,5.0,male,0,0,S,Third,man,True,0
19,5.0,male,0,0,S,Third,man,True,0
35,8.0,male,0,0,S,Third,man,True,0
32,8.0,male,0,0,S,Third,man,True,0
24,6.0,male,0,0,S,Third,man,True,0
23,6.0,male,0,0,S,Third,man,True,0
23,5.0,male,0,0,S,Third,man,True,0
21,5.0,male,0,0,S,Third,man,True,0
18,5.0,male,0,0,S,Third,man,True,0
23,6.0,male,0,0,S,Third,man,True,0
22,5.0,male,0,0,S,Third,man,True,0
24,12.0,male,0,0,S,Third,man,True,0
24,6.0,male,0,0,S,Third,man,True,0
25,6.0,male,0,0,S,Third,man,True,0
29,7.0,male,0,0,S,Third,man,True,0
28,7.0,male,0,0,S,Third,man,True,0
42,30.0,male,0,0,S,Third,man,True,0
23,6.0,male,0,0,S,Third,man,True,0
30,7.0,male,0,0,S,Third,man,True,0
25,6.0,male,0,0,S,Third,man,True,0
17,5.0,male,0,0,S,Third,man,True,0
29,7.0,male,0,0,S,Third,man,True,0
22,6.0,male,0,0,S,Third,man,True,0
23,6.0,male,0,0,S,Third,man,True,0
21,5.0,male,0,0,S,Third,man,True,0
23,6.0,male,0,0,S,Third,man,True,0
24,6.0,male,0,0,S,Third,man,True,0
21,5.0,male,0,0,S,Third,man,True,0
23,6.0,male,0,0,S,Third,man,True,0
28,7.0,male,0,0,S,Third,man,True,0
23,5.0,male,0,0,S,Third,man,True,0
23,6.0,male,0,0,S,Third,man,True,0
24,6.0,male,0,0,S,Third,man,True,0
23,6.0,male,0,0,S,Third,man,True,0
32,7.0,male,0,0,S,Third,man,True,0
19,5.0,male,0,0,S,Third,man,True,0
26,7.0,male,0,0,S,Third,man,True,0
23,6.0,male,0,0,S,Third,man,True,0
17,6.0,male,0,0,S,Third,man,True,0
17,6.0,male,0,0,S,Third,man,True,0
24,6.0,male,0,0,S,Third,man,True,0
24,11.0,male,0,0,S,Third,man,True,0
23,6.0,male,0,0,S,Third,man,True,0
20,5.0,male,0,0,S,Third,man,True,0
22,6.0,male,0,0,S,Third,man,True,0
25,6.0,male,0,0,S,Third,man,True,0
27,7.0,male,0,0,S,Third,man,True,0
23,6.0,male,0,0,S,Third,man,True,0
24,6.0,male,0,0,S,Third,man,True,0
26,7.0,male,0,0,S,Third,man,True,0
27,7.0,male,0,0,S,Third,man,True,0
32,7.0,male,0,0,S,Third,man,True,0
17,5.0,male,0,0,S,Third,man,True,0
22,6.0,male,0,0,S,Third,man,True,0
33,8.0,male,0,0,S,Third,man,True,0
21,5.0,male,0,0,S,Third,man,True,0
23,6.0,male,0,0,S,Third,man,True,0
23,6.0,male,0,0,S,Third,man,True,0
24,6.0,male,0,0,S,Third,man,True,0
24,6.0,male,0,0,S,Third,man,True,0
27,7.0,male,0,0,S,Third,man,True,0
23,6.0,male,0,0,S,Third,man,True,0
36,9.0,male,0,0,S,Third,man,True,0
25,6.0,male,0,0,S,Third,man,True,0
19,5.0,male,0,0,S,Third,man,True,0
25,6.0,male,0,0,S,Third,man,True,0
29,7.0,male,0,0,S,Third,man,True,0
26,7.0,male,0,0,S,Third,man,True,0
26,6.0,male,0,0,S,Third,man,True,0
21,6.0,male,0,0,S,Third,man,True,0
24,6.0,male,0,0,S,Third,man,True,0
25,6.0,male,0,0,S,Third,man,True,0
26,6.0,male,0,0,S,Third,man,True,0
24,6.0,male,0,0,S,Third,man,True,0
24,6.0,male,0,0,S,Third,man,True,0
26,6.0,male,0,0,S,Third,man,True,0
22,5.0,male,0,0,S,Third,man,True,0
22,5.0,male,0,0,S,Third,man,True,0
22,5.0,male,0,0,S,Third,man,True,0
25,6.0,male,0,0,S,Third,man,True,0
23,5.0,male,0,0,S,Third,man,True,0
29,7.0,male,0,0,S,Third,man,True,0
19,5.0,male,0,0,S,Third,man,True,0
22,6.0,male,0,0,S,Third,man,True,0
22,5.0,male,0,0,S,Third,man,True,0
25,6.0,male,0,0,S,Third,man,True,0
25,6.0,male,0,0,S,Third,man,True,0
27,7.0,male,0,0,S,Third,man,True,0
23,6.0,male,0,0,S,Third,man,True,0
29,8.0,male,0,0,S,Third,man,True,0
25,6.0,male,0,0,S,Third,man,True,0
24,6.0,male,0,0,S,Third,man,True,0
27,7.0,male,0,0,S,Third,man,True,0
22,5.0,male,0,0,S,Third,man,True,0
20,5.0,male,0,0,S,Third,man,True,0
27,7.0,male,0,0,S,Third,man,True,0
31,7.0,male,0,0,S,Third,man,True,0
41,15.0,male,0,0,S,Third,man,True,0
27,7.0,male,0,0,S,Third,man,True,0
21,5.0,male,0,0,S,Third,man,True,0
22,5.0,male,0,0,S,Third,man,True,0
23,6.0,male,0,0,S,Third,man,True,0
20,5.0,male,0,0,S,Third,man,True,0
26,6.0,male,0,0,S,Third,man,True,0
20,6.0,male,0,0,S,Third,man,True,0
38,12.0,male,0,0,S,Third,man,True,0
27,7.0,male,0,0,S,Third,man,True,0
41,15.0,male,0,0,S,Third,man,True,0
23,6.0,male,0,0,S,Third,man,True,0
24,6.0,male,0,0,S,Third,man,True,0
24,6.0,male,0,0,S,Third,man,True,0
25,6.0,male,0,0,S,Third,man,True,0
25,6.0,male,0,0,S,Third,man,True,0
21,5.0,male,0,0,S,Third,man,True,0
25,6.0,male,0,0,S,Third,man,True,0
20,5.0,male,0,0,S,Third,man,True,0
