age,fare,sex,sibsp,parch,embarked,class,who,alone,survived
37,64.0,male,2,6,S,Second,man,False,0
42,30.0,male,5,1,S,First,child,False,0
30,19.0,male,3,2,Q,Third,child,False,0
36,29.0,male,5,3,Q,Third,man,False,1
35,48.0,male,5,3,Q,Second,child,False,0
41,13.0,male,4,4,C,Third,child,False,1
38,56.0,male,4,1,S,Second,child,False,0
39,32.0,male,4,2,Q,Third,man,False,1
35,74.0,male,4,1,S,Third,child,False,1
36,17.0,male,8,4,Q,Third,man,False,0
41,0.0,male,8,1,S,First,child,False,0
33,18.0,male,5,3,C,Second,man,True,0
34,23.0,male,4,1,Q,Second,child,False,0
30,44.0,female,4,2,C,First,man,False,0
33,61.0,male,8,4,Q,Third,child,False,0
37,0.0,male,8,2,C,Third,man,False,0
30,13.0,male,4,4,Q,Third,child,False,1
38,57.0,male,4,1,S,Second,child,False,0
38,46.0,male,4,3,Q,Third,man,False,0
41,39.0,male,2,1,C,Third,man,False,0
37,44.0,male,5,1,Q,Third,child,False,0
37,60.0,male,3,6,Q,Second,child,False,1
37,29.0,male,0,1,C,Third,child,False,0
34,37.0,male,5,6,C,Second,child,False,0
37,51.0,male,4,4,C,Second,child,False,1
34,37.0,male,4,1,Q,Third,man,False,1
26,26.0,male,5,1,C,Third,child,False,0
23,36.0,male,8,4,Q,Third,man,True,0
25,37.0,male,1,1,S,Second,child,False,1
34,26.0,male,5,1,C,Second,child,False,0
35,32.0,male,4,1,Q,Second,man,False,0
27,61.0,male,2,1,Q,Second,man,False,1
27,37.0,male,4,1,Q,First,child,False,0
30,60.0,male,4,4,Q,Third,man,False,1
39,28.0,male,4,1,S,Third,man,False,1
38,22.0,male,5,6,C,Second,child,False,0
29,30.0,male,5,6,S,Third,child,True,0
37,50.0,male,5,2,Q,Second,child,False,0
37,27.0,male,4,6,Q,First,man,False,0
41,38.0,male,4,1,S,Second,child,False,1
33,40.0,male,1,4,Q,Third,man,False,0
36,29.0,male,4,2,Q,Third,man,False,1
31,13.0,male,4,1,S,Third,child,False,0
26,37.0,male,4,4,C,Third,man,False,1
37,42.0,male,4,4,S,Third,man,False,1
29,12.0,male,5,2,C,Second,child,True,1
31,45.0,male,5,2,C,Third,man,False,0
34,46.0,male,1,1,C,Second,child,False,1
32,42.0,male,2,4,S,Third,child,False,0
26,37.0,male,4,4,Q,Third,man,False,1
38,65.0,male,2,4,S,First,man,False,1
40,55.0,male,1,2,Q,Third,man,True,1
32,22.0,male,4,1,S,Third,child,False,0
35,52.0,male,4,2,S,Third,child,False,0
28,25.0,male,1,3,S,Second,child,False,0
34,0.0,male,5,4,C,Third,man,False,1
39,12.0,male,4,6,S,First,child,False,1
32,33.0,male,4,2,Q,Third,man,False,0
30,15.0,male,5,1,C,Second,child,False,0
37,27.0,female,4,2,Q,Second,man,False,0
39,32.0,male,4,1,Q,Third,child,False,1
39,13.0,male,5,1,Q,Third,man,False,1
38,27.0,male,8,4,C,Third,child,False,0
33,34.0,male,3,3,S,First,child,False,0
38,58.0,male,2,2,Q,Third,man,False,0
34,47.0,male,1,2,C,Third,man,False,0
33,25.0,male,4,3,Q,Third,man,False,0
37,26.0,male,4,1,S,Third,man,False,1
39,37.0,male,1,3,Q,First,man,False,1
38,0.0,female,5,2,Q,Third,man,False,1
26,40.0,male,8,4,Q,Third,man,False,1
27,5.0,male,4,1,S,Third,man,False,1
33,36.0,male,4,6,C,Third,child,False,1
38,26.0,male,4,3,S,Third,child,False,0
28,40.0,male,4,6,Q,Third,man,False,1
36,5.0,male,1,4,Q,First,child,False,0
38,50.0,male,4,1,C,Second,child,False,0
36,54.0,male,5,3,C,Third,man,False,0
33,25.0,male,4,6,C,Third,child,False,0
27,50.0,male,3,1,Q,Third,man,False,0
34,34.0,male,3,2,Q,Third,man,False,0
32,28.0,male,4,3,Q,Third,man,False,0
36,11.0,male,4,1,C,Second,child,False,0
31,31.0,male,8,4,S,Third,man,False,1
30,14.0,male,4,4,C,Second,child,False,1
35,20.0,male,5,0,S,Third,child,False,0
37,46.0,male,5,1,Q,Second,child,False,0
35,20.0,male,5,1,C,Third,man,False,1
26,39.0,male,5,1,C,Second,child,False,0
39,42.0,male,5,6,Q,First,man,False,0
33,43.0,male,4,1,S,Second,child,False,0
37,14.0,male,5,2,C,Third,child,True,0
35,54.0,male,2,4,Q,First,child,False,0
31,58.0,male,4,4,Q,Third,man,False,1
27,3.0,female,5,4,Q,Second,man,False,1
38,78.0,male,4,4,S,Third,man,False,0
38,16.0,male,4,2,C,Third,man,False,1
31,34.0,male,4,6,Q,Second,child,False,0
33,16.0,male,5,2,Q,Third,man,False,1
27,1.0,male,5,1,C,Third,child,False,1
37,38.0,male,2,4,Q,Second,man,False,0
39,59.0,male,2,1,S,Third,child,False,0
27,60.0,female,4,4,Q,Third,man,True,1
41,29.0,male,4,1,Q,Third,child,False,1
33,5.0,male,4,6,Q,Third,child,False,1
35,32.0,male,2,1,S,Second,child,False,0
37,67.0,male,5,6,Q,Third,child,False,0
35,0.0,male,5,4,C,Third,man,False,1
40,47.0,male,4,1,Q,Second,man,False,0
41,12.0,male,4,2,C,Second,child,False,1
27,34.0,male,3,4,Q,First,man,False,1
33,37.0,male,4,3,Q,Second,man,False,0
31,13.0,male,4,6,Q,Third,man,False,1
26,0.0,male,4,2,Q,Third,man,True,0
38,22.0,male,8,2,Q,First,man,False,0
33,8.0,male,4,1,S,Second,man,False,1
35,36.0,male,5,2,C,Third,man,False,0
35,68.0,male,5,3,Q,Third,man,False,0
34,25.0,male,5,6,Q,Third,man,False,1
27,47.0,male,4,1,Q,First,man,False,1
40,16.0,male,5,3,Q,Second,man,False,1
27,60.0,male,4,1,Q,Third,child,False,1
37,10.0,female,4,6,Q,First,child,False,0
35,24.0,male,1,4,Q,First,child,False,1
32,42.0,female,1,4,Q,First,man,False,0
35,23.0,male,5,2,Q,Third,man,False,1
38,40.0,female,8,2,Q,Third,child,False,0
36,53.0,male,5,6,Q,First,man,False,0
37,27.0,male,1,2,C,Second,man,False,0
41,32.0,male,4,4,Q,Third,child,False,1
39,54.0,male,1,3,C,Third,man,False,1
41,38.0,male,8,1,C,Third,man,False,0
36,13.0,male,5,2,C,Third,child,False,1
32,26.0,male,8,3,Q,Third,child,False,0
38,10.0,male,1,2,Q,Second,man,False,0
39,28.0,male,5,1,C,Third,man,False,0
34,11.0,male,5,2,Q,Second,man,False,1
39,48.0,male,4,1,C,Second,child,False,0
37,68.0,male,4,6,C,Third,child,False,1
35,61.0,male,5,1,C,Third,man,False,1
33,31.0,male,4,4,S,Third,man,False,1
34,0.0,male,5,2,C,Third,child,False,0
38,13.0,male,4,1,C,Third,child,False,1
35,45.0,male,4,2,S,Third,man,False,0
35,0.0,male,0,4,Q,Third,child,False,0
40,72.0,male,4,1,Q,Second,man,False,1
37,54.0,male,8,2,C,Third,child,False,0
40,29.0,male,4,1,Q,Third,man,False,0
34,42.0,male,4,3,S,Third,man,False,0
30,52.0,male,4,4,S,Third,man,False,1
29,15.0,male,8,4,S,Second,child,False,0
38,61.0,male,1,6,S,Second,child,False,0
39,28.0,male,5,6,C,Third,child,False,0
28,22.0,male,4,3,Q,First,man,False,0
38,28.0,male,5,2,Q,Third,man,False,1
30,37.0,male,4,4,C,First,child,False,1
28,41.0,male,4,2,Q,Second,man,True,1
36,63.0,male,5,6,S,Third,man,True,1
